disease_id,disease_name,context_summary,domain,body_system,symptoms,urgency_classification,recommended_tests,prevalence,disease_synonyms,link,notes,TRUE,Medical Taxonomy (set of specialties/domains),Explanation,,,
78,bladder disorder,N/A,N/A,,"painful urination, lower abdominal pain, frequent urination, sharp abdominal pain, suprapubic pain",,N/A,"0.733, 0.658, 0.533, 0.513, 0.511",,N/A,,FALSE,,,,,
79,bladder obstruction,N/A,N/A,,"involuntary urination, frequent urination, suprapubic pain, impotence, hesitancy",,N/A,"0.784, 0.692, 0.677, 0.529, 0.526",,N/A,,FALSE,,,,,
80,blepharitis,"Blepharitis, pronounced bleh-fur- RY -tis, means inflammation of the eyelid. The edges of your lids turn red or dark in color and become swollen and scaly. Blepharitis usually affects both eyes. It can happen when a skin condition causes irritation, when you develop an infection or when oil glands become clogged. All of these things can even happen at once.",N/A,,"eye burns or stings, eyelid swelling, lacrimation, spots or clouds in vision, diminished vision",,"How is blepharitis diagnosed? There’s no single test for blepharitis. Here are a few steps your eye care provider may take to find out if you have blepharitis and what type it is: Take a health history: The provider will ask about symptoms and other health conditions to determine your risk factors. Do an external eyelid exam: The appearance of your eyelids and intensity of reddening, discharge and swelling will help determine the type and severity. Take cultures of discharge: A swab of eyelid secretion sent to a lab can determine contents, including what type of bacteria is present and in what quantity. Do a tear test: A sample of tears can determine if dry eye is a contributing factor. Do an eyelash exam: Evaluating eyelashes under a microscope can detect mites. Perform an eyelid biopsy: Rarely, your provider may need to do a biopsy to rule out skin cancer or other abnormal cells. Your eye care provider will numb your lid with local anesthetic. Then they’ll use a needle to take a sample of cells to examine under a microscope. You may bruise, but you’re not likely to have a scar. Advertisement","0.666, 0.525, 0.519, 0.519, 0.514",,https://my.clevelandclinic.org/health/diseases/10032-blepharitis,,TRUE,,,,,
81,blepharospasm,"Blepharospasm is a type of eye twitching where the muscles in or around your eyes that open and close your eyes twitch or flex (spasm) rapidly and uncontrollably. In severe cases, the spasms can force your eyes shut, limiting your eyesight.",N/A,,"headache, abnormal movement of eyelid, low back weakness, diminished vision",,"How is blepharospasm diagnosed? Blepharospasm is difficult to diagnose, and many people need to see multiple providers from different medical specialties, such as: Ophthalmology . Eye care specialists , especially ophthalmologists , are often the first to see someone with blepharospasm (either because of the muscle spasms or other related issues like eye dryness and irritation). Neurology . Because it’s mainly a nervous system issue, neurologists are often the ones to diagnose and/or help treat blepharospasm. Diagnosing blepharospasm usually involves both a physical and neurological exam . One specific test that might help (but isn’t always necessary) is electromyography . Other tests might be possible, depending on other conditions your provider suspects or your medical history. Your provider can tell you more about other tests they think might help. Advertisement","1.0, 0.833, 0.833, 0.5",,https://my.clevelandclinic.org/health/diseases/21546-blepharospasm,,TRUE,,,,,
82,bone cancer,"“Bone cancer” is the term for several different cancers that develop in your bones . When cancer cells grow in a bone, they can harm normal bone tissue. Bone cancers can start in any bone, but they more commonly form in your thigh bone, shin bone or upper arm.",Oncology,,"problems with movement, leg pain, peripheral edema, low back pain, fatigue",,"How are bone cancers diagnosed? To diagnose a bone cancer, your healthcare provider will often first use X-rays to view your bones. Magnetic resonance imaging (MRI) and CT (computed tomography) scans provide more detailed images of the areas around your bones. You’ll likely need them before treatment. To confirm the diagnosis, your provider will also do a biopsy . They’ll remove a small piece of tissue from your bone, so a disease specialist ( pathologist ) can examine it under a microscope. A biopsy provides specific information about the cancer type. Having this information helps providers know which treatments will work best. Bone cancer staging Cancer staging allows healthcare providers to determine whether the cancer is only in one place (localized) or if it’s already spread throughout your body (metastasized). They also consider how likely it is to spread if it hasn’t already. The tumor’s grade, or how abnormal the cancer cells look, provides clues about how likely it is that cancer will spread. There are two systems providers may use to stage bone cancers. The Musculoskeletal Tumor Society, or Enneking system, uses the following staging guidelines: Stage 1 : Tumors are low-grade and haven’t spread. Stage 2 : Tumors are high-grade and haven’t spread. Stage 3 : The cancer has spread. Advertisement The American Joint Committee on Cancer (AJCC) uses the following system: Stage 1 : The tumor is low-grade and the cancer hasn’t spread. Stage 2 : The cancer hasn’t spread, but the tumor is high-grade. Stage 3 : The tumor is high-grade and cancer has spread to other areas within the same bone. Stage 4 : Cancer has spread from the bone to other areas of your body, like your lungs or liver .","0.867, 0.722, 0.638, 0.518, 0.433",,https://my.clevelandclinic.org/health/diseases/17745-bone-cancer,,TRUE,,,,,
83,bone disorder,N/A,N/A,,"difficulty speaking, leg cramps or spasms, leg pain, muscle stiffness or tightness, knee pain",,N/A,"0.764, 0.721, 0.690, 0.686, 0.541",,N/A,,FALSE,,,,,
84,bone spur of the calcaneous,N/A,N/A,,"elbow pain, foot or toe pain, ankle pain, foot or toe swelling, leg pain",,N/A,"0.967, 0.806, 0.612, 0.516, 0.483",,N/A,,FALSE,,,,,
85,brachial neuritis,N/A,Neurology,,"elbow pain, neck pain, paresthesia, low back pain, back pain",,N/A,"0.675, 0.531, 0.521, 0.520, 0.518",,N/A,,FALSE,,,,,
86,brain cancer,"A brain tumor is an abnormal growth or mass of cells in or around your brain . Together, spinal tumors and brain tumors are called central nervous system (CNS) tumors.",Oncology,,"difficulty speaking, focal weaknesss, decreased appetite, slurring words, seizures",,"How are brain tumors diagnosed? Diagnosing a brain tumor can be a complicated process and may involve several specialists. In some cases, though, healthcare providers may discover a brain tumor when performing imaging tests for another medical issue. If you’re experiencing symptoms of a brain tumor, your healthcare provider will perform a physical exam . They’ll also ask questions about your: Symptoms. Past and current health conditions. Current medications. Surgeries and medical treatments. Family medical history. Advertisement They may also perform a neurological exam , which involves looking for changes in your: Balance and coordination. Mental status. Hearing. Vision. Reflexes. These changes can point to the part of your brain that may be affected by a tumor. If your healthcare provider suspects you may have a brain tumor, a brain scan, most often an MRI, is usually the next step. What tests will be done to diagnose a brain tumor? Healthcare providers use several tests to diagnose a brain tumor, including: Brain MRI or CT scan : Magnetic resonance imaging (MRI) is the best imaging test for identifying brain tumors. Computed tomography (CT) is a good alternative if you’re unable to undergo an MRI. Before these tests, a substance that makes the tumor easier to see called a contrast agent is injected into one of your veins. These tests can show the tumor’s size and exact position in specific detail. Your healthcare provider may also look at other parts of your body, such as your lungs, colon or breasts, to see if the tumor has spread. Biopsy : Healthcare providers usually need to do a biopsy of the tumor (removal of a sample of the tumor for examination under a microscope) to identify the type of tumor and if it’s cancerous. A neurosurgeon may perform a biopsy during surgery in which they remove all or part of the tumor. If the tumor is difficult to reach, they may perform a stereotactic biopsy, which involves creating a small hole in your skull and using a needle to take a sample of tissue from the tumor. Spinal tap (lumbar puncture) : For this procedure, your healthcare provider uses a small needle to remove cerebrospinal fluid (CSF) from around your spine. A laboratory examines this fluid to look for cancer cells. Healthcare providers use this procedure when they suspect that the tumor has invaded the layers of tissues that cover your brain (meninges). Specialized tests : Certain tests can sometimes help with the diagnosis. For example, your healthcare provider may order tests that check your blood and cerebrospinal fluid for substances that certain tumors release called tumor markers . They can also test for gene abnormalities that are characteristic of certain tumors.","0.863, 0.568, 0.550, 0.546, 0.511",,https://my.clevelandclinic.org/health/diseases/6149-brain-cancer-brain-tumor,,TRUE,,,,,
87,breast cancer,N/A,Oncology,,"lump or mass of breast, bleeding or discharge from nipple, pain or soreness of breast, hot flashes ",,N/A,"0.833, 0.666, 0.666, 0.500",,https://www.nhs.uk/search/click?url=%2Fconditions%2Fbreast-cancer-in-women%2Fsymptoms-of-breast-cancer-in-women%2F&pos=1&hash=iUADIgBu%2BOUPNtkOvCR3r9CNKbFeJXi%2FqgTxMNAtLvw%3D&id=87066d57-8aa9-43e7-bebc-785a414681d4&searchText=breast%20cancer&documentId=59417d54-5a08-4837-a41d-1e1f899bcab6&pageIndex=0,,FALSE,,,,,
88,breast cyst,N/A,N/A,,"vaginal dryness, skin growth, pain or soreness of breast, lump or mass of breast",,N/A,"0.909, 0.636, 0.545, 0.500",,N/A,,FALSE,,,,,
89,breast infection (mastitis),N/A,N/A,,"skin growth, chills, mouth dryness, pain or soreness of breast, lump or mass of breast ",,N/A,"0.668, 0.666, 0.664, 0.524, 0.506",mastitis,N/A,,FALSE,,,,,
90,broken tooth,N/A,N/A,,"lip swelling, dry lips, toothache, facial pain, bleeding gums",,N/A,"0.818, 0.745, 0.600, 0.515, 0.515",,N/A,,FALSE,,,,,
91,bunion,N/A,N/A,,"skin growth, skin moles, foot or toe pain, knee pain, foot or toe lump or mass",,N/A,"0.947, 0.868, 0.842, 0.526, 0.526",,https://www.nhs.uk/search/click?url=%2Fconditions%2Fbunions%2F&pos=1&hash=p%2FLG7LFxJ1iS7xKQqhPQUeBK8%2FskhZ9CFHRw6ZMj0qE%3D&id=6ee1b53a-a35d-456c-a14f-462474bea391&searchText=bunion&documentId=0b9a018e-8a64-4d8e-a3fd-682c724a0ffe&pageIndex=0,,TRUE,,,,,
92,burn,N/A,N/A,,"skin irritation, wrist swelling, wrist pain, hand or finger pain, headache",,N/A,"0.771, 0.736, 0.719, 0.561, 0.543",,https://www.nhs.uk/search/click?url=%2Fconditions%2Facid-and-chemical-burns%2F&pos=1&hash=ibNoAaqFGDY6NBjKdqW06Da068FCK%2FvoloIKVz5fCSE%3D&id=fe77c9b8-be95-4bf0-a681-d501ff48e0e1&searchText=burn&documentId=03f9f91c-9805-4e1a-8bf2-fcad24204a68&pageIndex=0,,FALSE,,,,,
93,bursitis,"Bursitis is painful swelling in a small, fluid-filled sac called a bursa. Bursae (the plural of bursa) cushion spaces around bones and other tissue. They’re like bubble wrap that protects structures throughout your body. Bursae cushion the spaces between bones and your:",Dermatology,,"elbow swelling, knee pain, hip pain, arm swelling, arm pain",,"How is bursitis diagnosed? A healthcare provider will diagnose bursitis with a physical exam . They’ll ask you about your symptoms and examine the area around your affected body part. Tell your provider what you were doing before you noticed symptoms for the first time and if your job or a hobby requires you to do a repetitive motion. What tests are done to diagnose bursitis? Your provider might use some tests to diagnose bursitis, including: X-rays to rule out other conditions. Ultrasound or MRI (magnetic resonance imaging) to detect swollen bursae. A blood test to look for infection. An aspiration (taking a sample of fluid) of your affected bursa if they think it’s infected.","0.530, 0.518, 0.512, 0.511, 0.508",,https://my.clevelandclinic.org/health/diseases/10918-bursitis,,TRUE,,,,,
94,callus,N/A,N/A,,"acne or pimples, skin swelling, foot or toe swelling, skin growth, foot or toe pain",,N/A,"0.680, 0.647, 0.647, 0.545, 0.510",,https://www.nhs.uk/search/click?url=%2Fconditions%2Fcorns-and-calluses%2F&pos=1&hash=eLLKJ%2FU2KmIyvu2joPTCDEmxlOYFEaxIzNqGPHG%2F5fY%3D&id=77005ca2-2ada-4455-947d-83a3440f2552&searchText=callus&documentId=e4cca67c-e817-4e9c-9a78-b5b797b3c565&pageIndex=0,,TRUE,,,,,
95,carbon monoxide poisoning,"Carbon monoxide poisoning is a life-threatening illness that happens after breathing in fumes that contain carbon monoxide (CO). When high levels of CO enter your body, it can be deadly after only a few minutes. The most common symptoms of CO poisoning are a headache and shortness of breath. Contact emergency services immediately if you suspect you have CO exposure.",Dermatology,,"depressive or psychotic symptoms, emotional symptoms, nausea, headache, dizziness",,"How is carbon monoxide poisoning diagnosed? A healthcare provider will diagnose carbon monoxide poisoning after exposure by performing a blood test. They’ll remove a small sample of your blood and test it for CO. In addition, they may check your heart rate and oxygen levels through a finger oximeter. This device goes over your fingertip to take a reading. Your provider will learn more about your health by taking a complete medical history. They’ll also ask you about your exposure to CO, like the length of time and location where you had exposure. These questions can help them understand how much CO possibly entered your body.","0.863, 0.715, 0.579, 0.579, 0.522",,https://my.clevelandclinic.org/health/diseases/15663-carbon-monoxide-poisoning,,TRUE,,,,,
96,carcinoid syndrome,Carcinoid syndrome is a rare condition that happens if you have neuroendocrine tumors. Neuroendocrine tumors (NETs) are tumors that start in specialized cells in your neuroendocrine system.,N/A,,"involuntary urination, knee lump or mass",,"How is carcinoid syndrome diagnosed? Healthcare providers may use the following tests to diagnose carcinoid syndrome: Urine test : This test checks on certain hormone levels. Physical exam and medical history : Many carcinoid syndrome symptoms are similar to other less serious illnesses. Your healthcare provider will ask questions about specific symptoms, how long you’ve had the symptoms and if your symptoms are getting worse. Blood tests : These tests check on the amounts of substances that your organs and tissues release into your blood. Substance levels that spike or fall might be signs of disease. Neuroendocrine positron emission tomography (PET) scan : This test tracks neuroendocrine tumors with a dye called Gallium 68 dotatate . Computed tomography (CT) scan : CT scans use X-rays and a computer to produce 3D images of organs and bones. Ultrasound : Ultrasounds use sound waves to develop images of organs and bones. Magnetic resonance imaging (MRI) : This uses a computer, radio waves and a large magnet to create images of the inside of your body. Endoscopy : For this test, a provider inserts a long thin tube with a camera and a light into your body. Advertisement","1.0, 1.0",,https://my.clevelandclinic.org/health/diseases/22103-carcinoid-syndrome,,TRUE,,,,,
97,cardiac arrest,N/A,N/A,,"palpitations, irregular heartbeat, arm swelling, decreased heart rate, shortness of breath",,N/A,"0.716, 0.710, 0.705, 0.673, 0.563",,N/A,,FALSE,,,,,
98,cardiomyopathy,N/A,Cardiovascular,,"decreased heart rate, chest tightness, irregular heartbeat, fatigue, sharp chest pain",,N/A,"0.742, 0.694, 0.684, 0.591, 0.556",,https://www.nhs.uk/search/click?url=%2Fconditions%2Fcardiomyopathy%2F&pos=1&hash=pCWKZRupSXZZN2Lk6tvUzfc9ogTrX03Y%2F2RkTM1vTjg%3D&id=3ddff620-ec34-410c-a070-bbec10d9594a&searchText=cardiomyopathy&documentId=17e03b10-39f1-414b-a13a-c5412df07e4e&pageIndex=0,,TRUE,,,,,
99,carpal tunnel syndrome,"Carpal tunnel syndrome is a health condition that causes symptoms like pain, numbness, tingling and weakness in your hand and wrist .",Cardiovascular,,"elbow pain, wrist swelling, loss of sensation, neck pain, wrist pain",,"How do providers diagnose carpal tunnel syndrome? A healthcare provider will diagnose carpal tunnel syndrome with a physical exam and some tests. They’ll examine your wrist, hand and fingers and ask about your symptoms. Tell your provider when you first noticed symptoms and if any activities or time of day make them better or worse. Advertisement Carpal tunnel tests Your provider will use a combination of physical and imaging tests to diagnose carpal tunnel syndrome, including: Tinel’s sign Phalen’s test Wrist X-rays Electromyography (EMG) Ultrasound Magnetic resonance imaging (MRI)","0.676, 0.527, 0.524, 0.524, 0.522",,https://my.clevelandclinic.org/health/diseases/4005-carpal-tunnel-syndrome,,TRUE,,,,,
100,cat scratch disease,N/A,Neurology,,"skin swelling, groin mass, itchy eyelid",,N/A,"1.0, 1.0, 0.667",,N/A,,FALSE,,,,,
101,cataract,N/A,N/A,,"double vision, symptoms of eye, blindness, lacrimation, cloudy eye",,N/A,"0.719, 0.523, 0.515, 0.505, 0.505",,https://www.nhs.uk/search/click?url=%2Fconditions%2Fcataracts%2F&pos=1&hash=tot0I4HrgzXG04i3ON4H0phyopuZAmLM5uLDmhRDHwo%3D&id=725a4aca-00c6-465e-9d13-ec42f38181ea&searchText=cataract&documentId=e18ddb8f-0fbf-4aa3-adc2-19c96be04d5e&pageIndex=0,,TRUE,,,,,
102,celiac disease,"Celiac disease is an inherited autoimmune disease . It causes a reaction in your body to a protein called gluten. When you eat gluten, it triggers an abnormal response from your immune system. Your immune system attacks the gluten in your digestive system, causing inflammation. Inflammation damages the inside of your small intestine. This makes it harder for your intestine to absorb nutrients from your food.",N/A,,"peripheral edema, sharp chest pain, sharp abdominal pain, vomiting, regurgitation",,"How do you know if you have celiac disease or something else? You might suspect you have celiac disease if you have symptoms after eating gluten. Many people appear to have a sensitivity to gluten or wheat products in what they eat. Food intolerances can cause discomfort that mimics celiac disease . But they don’t damage your small intestine the way celiac disease does. To diagnose celiac disease, a healthcare provider will look for evidence of this damage. Testing for celiac disease Healthcare providers use two methods of testing for celiac disease. They prefer to use both together to confirm the diagnosis: Blood test : First, your provider will test your blood for antibodies to gluten. Biopsy : Then, they’ll look for damage to your intestinal lining. This requires taking a small tissue sample (biopsy). To take the sample, a GI doctor will perform an endoscopic exam of your small intestine. Your provider may also want to test your blood for nutrient deficiencies. Severe deficiencies can have wide-ranging effects on your body. You may need nutrition therapy to treat them. Common findings include: Iron-deficiency anemia Vitamin-deficiency anemia Vitamin D deficiency","0.807, 0.748, 0.715, 0.695, 0.516",,https://my.clevelandclinic.org/health/diseases/14240-celiac-disease,,TRUE,,,,,
103,cellulitis or abscess of mouth,N/A,N/A,,"throat swelling, abnormal appearing skin, sore throat, lip swelling, skin growth",,N/A,"0.898, 0.782, 0.637, 0.615, 0.572",,N/A,,FALSE,,,,,
104,central atherosclerosis,N/A,N/A,,"irregular heartbeat, shortness of breath, blood in urine, fatigue",,N/A,"0.944, 0.722, 0.722, 0.666",,N/A,,FALSE,,,,,
105,central retinal artery or vein occlusion,N/A,Cardiovascular,,"irregular heartbeat, symptoms of eye, pain in eye, diminished vision, blindness",,N/A,"0.797, 0.710, 0.579, 0.507, 0.507",,N/A,,FALSE,,,,,
106,cerebral edema,"“Cerebral edema“ is the medical term for brain swelling, or swelling that happens in part or all of your brain because of excessive fluid buildup in the tissue. Your skull protects your brain, but it can’t expand to hold extra fluid.",Cardiovascular,,"dizziness, vomiting, arm pain, headache, neck pain",,"How is cerebral edema diagnosed? Healthcare providers will talk to you or people around you and perform a neurological examination . Your history and symptoms can help a healthcare provider tell if you have cerebral edema. Brain imaging — either with a CT scan or MRI — can confirm the diagnosis of brain edema. What tests will be done to diagnose cerebral edema? A healthcare provider may order certain tests to diagnose swelling in your brain or the causes of the swelling, including: A computed tomography (CT) scan . A magnetic resonance imaging (MRI) scan . Blood tests .","0.903, 0.740, 0.682, 0.567, 0.567",,https://my.clevelandclinic.org/health/diseases/cerebral-edema-brain-swelling,,TRUE,,,,,
107,cerebral palsy,"Cerebral palsy (CP) is a neurological condition that can present as issues with muscle tone, posture and/or a movement disorder . It’s the result of damage to your brain during fetal development or another developmental disability that affects the way your brain develops. The signs and symptoms of CP appear early in childhood and can vary widely from person to person.",Neurology,,"infant feeding problem, blindess, lack of growth, cramps and spasms, problems with movement",,"How is cerebral palsy diagnosed? A healthcare provider can diagnose cerebral palsy using a combination of methods and tools. The earliest signs of CP are usually things most people wouldn’t know to look for. But a trained healthcare provider can often catch these during your baby’s regular checkups with their pediatrician. A provider may suspect CP before your baby reaches 12 months old, but will often hold off on making the official diagnosis until your baby is between 18 and 24 months old. A provider can diagnose CP using a physical and neurological exam, specialized assessment checklists, and imaging scans and magnetic resonance imaging (MRI). If your baby has other symptoms, they may need other tests, too. Your baby’s provider can tell you what tests they recommend and why these are necessary. Advertisement","0.805, 0.748, 0.733, 0.532, 0.510",,https://my.clevelandclinic.org/health/diseases/8717-cerebral-palsy,,TRUE,,,,,
108,cervical cancer,Cervical cancer is cancer that begins on the surface of your cervix . It happens when the cells on your cervix start to change to precancerous cells. HPV (human papillomavirus) infection causes almost all cases of cervical cancer. HPV is a virus that spreads through sexual contact. You can lower your risk of cervical cancer by getting regular cervical cancer screenings (like a Pap smear ) and receiving the HPV vaccine .,Neurology,,"vaginal itching, jaundice, pelvic pain, heavy menstrual flow, vaginal discharge",,"How is cervical cancer diagnosed? Cervical cancer usually develops slowly and over many years. Before turning into cancer, the cells in your cervix go through a lot of changes. The once normal cells in your cervix start to appear irregular or abnormal. These abnormal cells may go away, stay the same or turn into cancer cells. Regular cervical cancer screenings with a Pap test can detect most cases of cervical cancer. The goal of cervical cancer screening is to detect cell changes on your cervix before they become cancer. A Pap test, or Pap smear, involves looking at cells from your cervix under a microscope. These cells are examined for signs of precancers or other irregularities. If your Pap comes back as abnormal, further testing is necessary. This could include an HPV test , which is a specific test that checks the cells of your cervix for the HPV strains that are most likely to cause cancer. Tests to diagnose cervical cancer If your screenings come back as abnormal, your healthcare provider will want to run more tests to confirm you have cervical cancer. The first step in that is typically a colposcopy . A colposcope magnifies the cells of your cervix so your healthcare provider can see irregular cells. If the cells look suspicious or unusual, they’ll remove a sample of cervical cells and send them to a lab for further testing. Advertisement They can use any of the following methods to get a sample of tissue from your cervix: Punch biopsy : Your provider uses a cutting tool with a round top to cut out the precancerous cells. Endocervical curettage : This procedure involves your provider scraping the lining of your cervix with a spoon-shaped tool called a curette. Loop electrosurgical excision procedure (LEEP) : Your provider uses an electrical wire loop to remove the abnormal cervical tissue. Cone biopsy : Your provider removes a slightly larger, cone-shaped piece of tissue from your cervix. If the results from these tests confirm cervical cancer, further tests will determine whether the disease has spread ( metastasized ). These tests might include: Liver and kidney function studies . Blood and urine tests . X-rays of your bladder, rectum, bowels and lungs. CT scans . MRI . The results of these tests also help your healthcare provider stage the cancer . Cervical cancer ranges from Stage I (least severe) to Stage IV (most severe). Staging helps your healthcare provider determine the best treatment plan. What are the stages of cervical cancer? There are four main stages of cervical cancer, and within each stage, there can be several different substages. The main stages of cervical cancer are: Advertisement Stage I : Cancer is found only in the neck of your cervix. It hasn’t spread to the deeper parts of your cervical tissue. Stage II : Cancer has spread beyond your cervix and uterus but hasn’t yet spread to your pelvic wall (the tissues that line your pelvis ) or your lower vagina . Stage III : Cancer has spread to the lower part of your vagina and may have spread to your pelvic wall, ureters (tubes that carry pee from your kidneys to your bladder) and nearby lymph nodes. Stage IV : Cancer has spread to your bladder, rectum or other parts of the body like your bones or lungs . Your healthcare provider is the best person to discuss what stage of cervical cancer you have and what it means. What does cervical cancer look like? Cervical cancer cells look different under a microscope compared to normal or healthy cells. Only a pathologist can identify these changes. You wouldn’t be able to see or touch cervical cancer on your own. A pathologist will notice the following features of cervical cancer cells: Different size and shape. Loss of structure or organization. Increase in fluid inside the cell. A darkened center.","0.907, 0.865, 0.628, 0.587, 0.536",,https://my.clevelandclinic.org/health/diseases/12216-cervical-cancer,,TRUE,,,,,
109,cervical disorder,N/A,N/A,,"vaginal itching, pain during intercourse, sharp abdominal pain, pelvic pain",,N/A,"0.883, 0.790, 0.720, 0.395",,N/A,,FALSE,,,,,
110,cervicitis,"Cervicitis is inflammation of your cervix due to infection or other irritants. When the tissue of your cervix is inflamed, it becomes swollen and may bleed more easily. It can cause symptoms like a pus-like vaginal discharge , irregular vaginal bleeding or pain during sex. Some people don’t experience any symptoms at all. Most cases of cervicitis happen due to a bacterial infection , but you can get it anytime something irritates your cervix.",N/A,,"painful urination, nausea, vaginal itching, pain during pregnancy, pelvic pain",,"How is cervicitis diagnosed? Your healthcare provider can diagnose cervicitis during a pelvic exam . During your appointment, your healthcare provider will look for: Advertisement Any redness or inflammation on your cervix. Pus-like discharge. Inflammation of your vaginal walls. Your provider will also take a sample of your vaginal discharge and send it to a lab for analysis. To do this, they place a cotton swab into your vagina and collect fluid. Then, a pathologist tests the discharge for infection. Does cervicitis show up on a Pap smear? A Pap test can offer clues that could lead to diagnosis, but it’s not a test for cervicitis. A Pap smear is helpful in that it allows your healthcare provider to see changes in the cells of your cervix that may point to dysplasia or cancer . But it can’t diagnose cervicitis or what’s causing it. What can be mistaken for cervicitis? Many other conditions have similar symptoms to those of cervicitis like inflammation, irregular discharge, odor and itching. Some of these conditions are: Vaginitis . Yeast infection . Bacterial vaginosis.","0.708, 0.669, 0.661, 0.656, 0.528",,https://my.clevelandclinic.org/health/diseases/15360-cervicitis,,TRUE,,,,,
111,chalazion,"A chalazion is a red bump on your eyelid . It’s sometimes called an eyelid cyst or a meibomian cyst. It slowly forms when an oil gland (called a meibomian gland) becomes blocked. At first, the chalazion may be painful, but after a little time, it usually doesn’t hurt. A chalazion typically forms on the underside of your upper eyelid but may occasionally form on your lower eyelid.",N/A,,"eyelid swelling, diminished vision, mass on eyelid, lacrimation, foreign body sensation in eye ",,"How is a chalazion diagnosed? You’ll usually see an eye care specialist when you have a chalazion. You might see an optometrist or an ophthalmologist . These healthcare providers can examine the chalazion and offer treatment options. When you see an eye care specialist, you can expect: Health history: Your provider will go over your complete health history. This information can help your provider find underlying issues that could be contributing to the formation of a chalazion. External eye exam: Your provider will perform a complete eye exam , looking at your eye, eyelid, eyelashes and skin texture. Thorough eyelid exam: Your provider will shine a bright light and use magnification to look at the base of your eyelashes. They’ll also check the oil glands’ openings on the underside of your eyelid.","0.679, 0.679, 0.523, 0.520, 0.514",,https://my.clevelandclinic.org/health/diseases/17657-chalazion,,TRUE,,,,,
112,chickenpox,"Chickenpox is an infection that causes an itchy, blister-like skin rash. A virus called varicella-zoster causes it. Chickenpox is highly contagious. But it’s much less common today because there’s a vaccine that protects you from it. Children are the most susceptible to getting chickenpox, although you can get it as an adult, too.",N/A,,"pain in testicles, cough, itching of skin, fever, skin rash",,How is chickenpox diagnosed? Signs of chickenpox are easy to see. Healthcare providers often can look at your child’s skin and know if they have chickenpox.,"0.855, 0.836, 0.586, 0.576, 0.557",,https://my.clevelandclinic.org/health/diseases/4017-chickenpox,,TRUE,,,,,
113,chlamydia,"Chlamydia is a common sexually transmitted infection (STI) caused by bacteria. Chlamydia infections are treatable and curable. However, its symptoms are often unnoticeable. It’s important to receive treatment for chlamydia as soon as possible. Left untreated, chlamydia can lead to serious complications and cause permanent damage to your reproductive organs.",Dermatology,,"pelvic pain, vaginal itching, sharp abdominal pain, vaginal discharge, lower abdominal pain",,"How is chlamydia diagnosed? The most common test for chlamydia is called a nucleic acid amplification test (NAAT). Your provider takes a sample of fluid by doing a vaginal/cervical swab or collecting a urine sample. Then, they send the sample off to a lab to check for the bacteria that causes chlamydia. Your provider may do the test in an office, or they may ask you to do an at-home chlamydia test. Follow your provider’s instructions carefully to ensure you get accurate test results. Because most chlamydia cases are asymptomatic, it’s important to get screened for chlamydia even if you don’t notice any signs of infection. The CDC recommends that sexually active women who are high-risk for chlamydia get screened regularly. Women more so than men experience the most severe complications from chlamydia. For this reason, women should be screened regularly, too. You’re considered high-risk if you: Are under 25. Are pregnant. Have a new partner. Have multiple partners. Have had chlamydia infections previously. Advertisement Men should get screened for chlamydia if: You live in or visit a setting where chlamydia spreads frequently, like correctional facilities, adolescent clinics and sexual health clinics. You have sex with other men. Regardless of your age, reproductive anatomy, or other risk factors — you should discuss your sexual history and sexual activity with your healthcare provider. Your provider is your best resource for offering guidance on how often you should be tested for chlamydia and other STIs.","0.806, 0.781, 0.684, 0.684, 0.557",,https://my.clevelandclinic.org/health/diseases/4023-chlamydia,,TRUE,,,,,
114,cholecystitis,"Cholecystitis (KO-leh-sis-TY-tiss) is inflammation in your gallbladder , the small, pear-shaped organ that lives under your liver and stores the bile your liver makes. Your gallbladder sends bile to your small intestine after you eat to help digest fats. It sends and receives bile through tiny pipelines called bile ducts . An infection or obstruction in your gallbladder or the bile ducts connected to it can cause inflammation, pain and swelling inside it.",Gastroenterology,,"vomiting, back pain, side pain, sharp abdominal pain, burning abdominal pain",,"How is cholecystitis diagnosed? A healthcare provider will start by asking you about your symptoms. If they suspect cholecystitis, they might check for it by asking you to take a deep breath while they gently press on your upper right abdomen. If this is painful, it’s a classic sign of cholecystitis (Murphy’s sign). They’ll follow up with tests, including imaging of your gallbladder and bile ducts and blood tests to look for additional clues. Tests to diagnose cholecystitis may include: Complete blood count (CBC). Liver function tests . Abdominal ultrasound . Endoscopic ultrasound . CT scan (computed tomography scan). HIDA scan (hepatobiliary iminodiacetic acid scan).","0.520, 0.516, 0.516, 0.515, 0.514",,https://my.clevelandclinic.org/health/diseases/15265-gallbladder-swelling--inflammation-cholecystitis,,TRUE,,,,,
